passed,score,dist_to_20ma,break_desc,drawdown,latest_price,name,symbol
True,24.340026584575906,24.351435489450026,刚突破50MA（强势站上5MA）,8.698412698412692,14.38,东方国信,SZ300166
True,23.865637568149058,30.91641490433032,刚突破50MA（强势站上5MA）,12.030075187969919,17.55,特发信息,SZ000070
True,23.30549651178689,21.268452706396943,刚突破50MA（强势站上5MA）,2.8684037661484614,177.44,盛科通信-U,SH688702
True,21.543714848732723,22.992386445960165,刚突破50MA（强势站上5MA）,0.0,89.98,罗曼股份,SH605289
True,19.90855250477926,24.736520694206426,刚突破50MA（强势站上5MA）,3.0816326530612206,94.98,微导纳米,SH688147
True,19.083427394644232,16.01596763510732,刚突破50MA（强势站上5MA）,5.744618964514256,64.81,德邦科技,SH688035
True,18.114749158012344,21.099871776606353,刚突破50MA（强势站上5MA）,1.7341040462427786,17.0,精锻科技,SZ300258
True,16.663057380183453,13.019197207678898,刚突破50MA（强势站上5MA）,1.8787878787878711,32.38,国城矿业,SZ000688
True,16.44867169862784,19.390779924358583,刚突破50MA（强势站上5MA）,3.1509121061359933,11.68,风语筑,SH603466
True,15.433873838560299,16.633432409044733,刚突破50MA（强势站上5MA）,3.003754693366711,15.5,共达电声,SZ002655
